Hidden Dimensions,train_accuracy,val_accuracy,test_accuracy
1,0.2553454545454545,0.2582,0.2396
2,0.3566,0.3612,0.3578
3,0.4052909090909091,0.412,0.4155
4,0.4957636363636363,0.4984,0.4949
5,0.5489090909090909,0.5618,0.5709
7,0.6506727272727273,0.6618,0.6657
8,0.6878363636363637,0.6952,0.6937
9,0.7038545454545454,0.697,0.6963
10,0.7051818181818181,0.7084,0.7149
12,0.7727272727272727,0.767,0.7676
14,0.8050545454545455,0.7962,0.7975
16,0.8117818181818182,0.799,0.7978
20,0.8294363636363636,0.8092,0.8096
25,0.8510181818181818,0.8118,0.814
30,0.8634181818181819,0.807,0.8111
35,0.8694363636363637,0.8074,0.8097
40,0.885,0.7888,0.7904
45,0.8987636363636363,0.78,0.7768
50,0.9079090909090908,0.7694,0.7741
55,0.9238363636363636,0.7652,0.7623
60,0.9479454545454544,0.7496,0.7515
65,0.9727818181818182,0.7504,0.7465
70,0.9782181818181818,0.7546,0.747
75,0.9989636363636364,0.7596,0.7626
80,0.9983090909090908,0.7562,0.7561
85,0.9994545454545456,0.746,0.7466
90,0.9997818181818182,0.7528,0.7619
95,1.0,0.7766,0.7747
100,0.9999454545454546,0.7646,0.7652
105,0.9999818181818182,0.7698,0.7694
110,0.9999818181818182,0.7734,0.7729
115,1.0,0.776,0.7789
120,1.0,0.7824,0.7819
125,1.0,0.7904,0.7843
130,1.0,0.7962,0.7937
140,1.0,0.7894,0.7937
150,0.9999818181818182,0.785,0.7895
160,1.0,0.7998,0.8005
170,1.0,0.8022,0.8071
180,1.0,0.8022,0.8028
190,1.0,0.8066,0.8049
200,1.0,0.8124,0.8081
300,1.0,0.8182,0.8175
400,1.0,0.8158,0.8156
500,1.0,0.8238,0.8169
600,1.0,0.824,0.8202
700,1.0,0.8196,0.8254
800,1.0,0.8232,0.8214
900,1.0,0.8242,0.8227
1000,1.0,0.817,0.8227
