Hidden Dimensions,train_accuracy,val_accuracy,test_accuracy
1,0.1840888888888888,0.1878,0.1851
2,0.2533555555555555,0.2604,0.2581
3,0.2827333333333333,0.2864,0.2892
4,0.3195333333333333,0.3262,0.3247
5,0.3324222222222222,0.3438,0.335
6,0.3686,0.375,0.372
7,0.3842666666666666,0.3902,0.3907
8,0.3962666666666666,0.3964,0.3925
9,0.4132666666666666,0.4112,0.4166
10,0.4278888888888889,0.4294,0.4252
12,0.4514,0.4536,0.4438
14,0.4771777777777777,0.4546,0.4576
16,0.4943111111111111,0.4736,0.4655
18,0.5008888888888889,0.4692,0.4611
20,0.5114888888888889,0.4722,0.4663
25,0.5445333333333333,0.4868,0.4765
30,0.5808,0.4798,0.4695
32,0.5899777777777778,0.4962,0.4908
35,0.6112666666666666,0.4706,0.469
40,0.6309555555555556,0.473,0.4606
45,0.6566444444444445,0.4822,0.4705
50,0.699,0.4658,0.4665
55,0.7331777777777778,0.461,0.4495
60,0.7666444444444445,0.4592,0.4493
64,0.79,0.4594,0.4443
70,0.8341111111111111,0.4442,0.4375
75,0.8641777777777778,0.4396,0.4344
80,0.8804,0.4206,0.4235
85,0.9239777777777778,0.4366,0.4244
90,0.9446666666666668,0.4296,0.4282
95,0.9799111111111112,0.4306,0.429
100,0.989,0.4438,0.4281
105,0.9931333333333332,0.4446,0.4357
110,0.9966,0.4382,0.4281
115,0.9980222222222224,0.4414,0.4364
120,0.9986,0.4534,0.44
125,0.9993555555555556,0.4302,0.4304
128,0.9997555555555556,0.4484,0.4264
130,0.9992888888888888,0.4564,0.444
135,0.9998222222222222,0.4464,0.4415
140,0.9997777777777778,0.4434,0.4457
145,0.9997111111111112,0.4546,0.4473
200,1.0,0.4692,0.459
256,1.0,0.4824,0.4776
300,1.0,0.4918,0.4769
400,1.0,0.4944,0.4923
512,1.0,0.5098,0.4931
600,1.0,0.5156,0.4978
700,1.0,0.5166,0.4951
800,1.0,0.5184,0.5038
900,1.0,0.5198,0.5049
1000,1.0,0.5214,0.5102
