Hidden Dimensions,Train loss,Test loss
1,2.088652094656771,2.081921698171881
2,1.921666229990396,1.9160759101940104
3,1.8504936278543689,1.8451510079299347
4,1.751878629692576,1.7312518373320374
5,1.703234439207749,1.718138791337798
6,1.623055856336247,1.612104524539996
7,1.5991047935729676,1.6152343568922598
8,1.5240627296946263,1.5401702817482283
9,1.4998935549096628,1.5200082893613018
10,1.4739042347805067,1.479970348032215
12,1.357667434621941,1.4054747774631162
14,1.311247892677784,1.3804342112963712
16,1.2642062208191915,1.3483881467505343
18,1.234261015938087,1.351209702371042
20,1.1746550359847872,1.3356649739832818
22,1.1748074812983924,1.3521278447742704
25,1.1062869727611542,1.3029018768781349
30,0.9505404631861232,1.3652484748936906
35,0.8852150966836647,1.3936037881464898
40,0.7741396715017882,1.560463028618052
45,0.7455991211939942,1.5028805461110948
55,0.5217971563000571,1.851388558556762
60,0.378751103893261,2.0571374666841726
65,0.2573590323074974,2.357060098949867
70,0.1717037213754586,2.656457603732242
75,0.1242830485888672,2.979140954681589
80,0.1143903595882214,2.937795240667802
85,0.06866811781021,3.148790392694594
90,0.0336373863723234,3.467621350590187
95,0.0208567172786305,3.5699810800673086
100,0.0146781387222951,3.7156940774072575
105,0.0125667967427447,3.799126148223877
110,0.005932896658454,4.073057198826271
115,0.0037490732217768,3.864559997486163
120,0.0035269479834493,3.914963000937353
125,0.0026963514936307,3.8549122689645503
130,0.0018014741689181,3.950045600722108
135,0.0011051871177766,4.082204945479767
140,0.0009847172729099,4.096460656274723
145,0.0006031556006291,4.056628933435754
155,0.0003716708550675,4.05681978298139
200,0.0001028838830476,4.093354593349408
300,2.582415341188173e-05,3.949212958541097
500,9.428813951343914e-06,3.773733268810224
600,5.818499395101898e-06,3.759704541556443
700,5.024333183198141e-06,3.733867835394944
800,4.002200097391102e-06,3.715147489233862
900,4.17063199491126e-06,3.713838918299615
1000,4.404556896663404e-06,3.6449283346345154
